"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3461","check box example","chromium","Mon Sep 22 22:16:20 IST 2025","passed","Mon Sep 22 22:16:23 IST 2025","","checkboxex.spec.js","",""
"","552","POST API","chromium","Mon Sep 22 22:15:55 IST 2025","passed","Mon Sep 22 22:15:55 IST 2025","","API Tests\1Apitest.spec.js","",""
"","9987","Verify add Employee with Mandatory detaials","chromium","Mon Sep 22 22:27:44 IST 2025","failed","Mon Sep 22 22:27:54 IST 2025","Verify Add Employee functionality ","PIMPO\addemployeePO.spec.js","",""
"","10026","Playwright Test Case - test Confirm Alert - OK","chromium","Mon Sep 22 22:26:18 IST 2025","passed","Mon Sep 22 22:26:28 IST 2025","Automation - Working with Alerts","LegacyScripts\WWE\6alerts.spec.js","",""
"","40644","Add job title","chromium","Mon Sep 22 22:25:18 IST 2025","broken","Mon Sep 22 22:25:59 IST 2025","Validate Orange HRM Login functionality with SessionStorage","LegacyScripts\WWE\22testingWithoutLogin.spec.js","",""
"","11082","handle tabs -example 2***","chromium","Mon Sep 22 22:20:47 IST 2025","passed","Mon Sep 22 22:20:58 IST 2025","Automation - Working With Elements","LegacyScripts\WWE\17Tabs.spec.js","",""
"","292","verify that the user can make a payment with net banking","chromium","Mon Sep 22 22:17:53 IST 2025","passed","Mon Sep 22 22:17:53 IST 2025","verify the payment using different methods","hooks.spec.js","",""
"","4958","checkbox another way example","chromium","Mon Sep 22 22:16:30 IST 2025","passed","Mon Sep 22 22:16:35 IST 2025","","checkboxex.spec.js","",""
"","7559","Element screenshot","chromium","Mon Sep 22 22:18:55 IST 2025","passed","Mon Sep 22 22:19:02 IST 2025","","LegacyScripts\WWE\12screenshots.spec.js","",""
"","17952","Verify Add Job title - QA lead","chromium","Mon Sep 22 22:17:11 IST 2025","passed","Mon Sep 22 22:17:29 IST 2025","","DDTArrayAddjobtitl.spec.js","",""
"","711","open two browsers","chromium","Mon Sep 22 22:18:39 IST 2025","passed","Mon Sep 22 22:18:39 IST 2025","","fixtures.spec.js","",""
